Astronomical Journal, AJ
The Astronomical Journal, AJ
Annual Review of Astronomy and Astrophysics, ARA&A
Astronomy and Astrophysics, A&A	
Astronomy and Astrophysics Review, A&AR
The Astronomy and Astrophysics Review, A&AR
Astronomy and Astrophysics Supplement Series, A&AS
Astrophysical Journal, ApJ
The Astrophysical Journal, ApJ
Astrophysical Journal Supplement Series, ApJS
The Astrophysical Journal Supplement Series, ApJS
Astrophysics and Space Science, Ap&SS
Chinese Astronomy and Astrophysics, ChA&A
Chinese Journal of Astronomy and Astrophysics, ChJAA
Research in Astronomy and Astrophysics, RAA
Monthly Notices of the Royal Astronomical Society, MNRAS
Nature, Nature
Publications of the Astronomical Society of Japan, PASJ
Publications of the Astronomical Society of the Pacific, PASP
Science, Science
Space Science Reviews, SSRv
Physics Reports, PhR
Reports on Progress in Physics, ROPP
Nature Astronomy, NatAs
